country_id,country_id_iso,country_name,cab_id,cab_name,date_in,year_month_in,year_in,date_out,year_month_out,year_out,date_in_str,date_out_str,form_decade,cab_duration_max,cab_duration_days,cab_duration_relative,cab_composition1,cab_composition2,cab_party1,cab_party2,cab_party3,cab_party4,cab_party5,cab_party6,cab_num_parties,cab_coalition,cab_majority,cab_mwc,cab_surplus,govtype,newgov_type,post_election_cab,support_parties,support_party1,support_party2,support_party3,support_party4,techno_maj,techno_pm,techno_remit,prox_election,elecdate,num_parties,largest_party,largest_party_incab,largest_party_share,minority_sit,seats,cab_strength_lower,cab_strength_out,cab_seatshare,enpp,enpp_no_others,dim_first_median,dim_first_median_2nd,dim_first_median_bp,dim_first_label,dim_second_median,dim_second_median_2nd,dim_second_label,prox_election_upper,upper_seats_total,cab_strength_upper,cab_strength_upper_out,upper_majority,upper_enpp,upper_dim_first_median,upper_dim_second_median,form_duration,form_duration_alt,barg_fail_rounds,barg_success_parties,barg_success_duration,barg_success_party1,barg_success_party2,barg_success_party3,barg_success_party4,barg_success_party5,barg_success_party6,barg_fail1_parties,barg_fail1_duration,barg_fail1_party1,barg_fail1_party2,barg_fail1_party3,barg_fail1_party4,barg_fail1_party5,barg_fail1_party6,barg_fail1_party7,barg_fail1_party8,barg_fail1_party9,barg_fail2_parties,barg_fail2_duration,barg_fail2_party1,barg_fail2_party2,barg_fail2_party3,barg_fail2_party4,barg_fail2_party5,barg_fail2_party6,barg_fail2_party7,barg_fail2_party8,barg_fail3_parties,barg_fail3_duration,barg_fail3_party1,barg_fail3_party2,barg_fail3_party3,barg_fail3_party4,barg_fail3_party5,barg_fail3_party6,barg_fail3_party7,barg_fail4_parties,barg_fail4_duration,barg_fail4_party1,barg_fail4_party2,barg_fail4_party3,barg_total_duration,form_invest_pro,form_invest_con,form_invest_abs,coal_agree,coal_agree_public,coal_elec_rule,coal_conf,coal_conf_mech1,coal_conf_mech2,coal_conf_mech3,coal_conf_mech4,coal_conf_mech5,coal_conf_mech6,coal_conf_common,coal_conf_common_mech1,coal_conf_common_mech2,coal_conf_serious,coal_conf_serious_mech1,coal_conf_serious_mech2,personalunion,personalunion_party1,personalunion_party2,personalunion_party3,personalunion_party4,personalunion_party5,personalunion_party6,exclagenda,coal_disc_leg,coal_disc_parl,coal_free_appointment,coal_policy,coal_junmin,coal_noncab,coal_size_agreement_doc1,coal_size_agreement_doc2,coal_size_agreement_doc3,coal_size_agreement_doc4,coal_size_agreement_all,coal_genrules_doc1,coal_genrules_doc2,coal_genrules_doc3,coal_genrules_doc4,coal_genrules_all,coal_polspec_doc1,coal_polspec_doc2,coal_polspec_doc3,coal_polspec_doc4,coal_polspec_all,coal_distoff_doc1,coal_distoff_doc2,coal_distoff_doc3,coal_distoff_doc4,coal_distoff_all,coal_distcomp_doc1,coal_distcomp_doc2,coal_distcomp_doc3,coal_distcomp_doc4,coal_distcomp_all,coal_pol_doc1,coal_pol_doc2,coal_pol_doc3,coal_pol_doc4,coal_pol_all,num_ministries,num_ministers,junmin,deputy_party1,deputy_party2,deputy_party3,deputy_party4,deputy_party5,deputy_port1,deputy_port2,deputy_port3,deputy_port4,portfolio1_party1,portfolio2_party1,portfolio3_party1,portfolio4_party1,portfolio5_party1,portfolio6_party1,portfolio7_party1,portfolio8_party1,portfolio9_party1,portfolio10_party1,portfolio11_party1,portfolio11_party2,portfolio12_party1,portfolio12_party2,portfolio13_party1,portfolio14_party1,portfolio15_party1,portfolio16_party1,portfolio17_party1,portfolio17_party2,portfolio18_party1,portfolio19_party1,portfolio20_party1,portfolio20_party2,portfolio21_party1,portfolio22_party1,portfolio23_party1,portfolio24_party1,portfolio25_party1,portfolio26_party1,portfolio27_party1,portfolio28_party1,portfolio29_party1,portfolio30_party1,portfolio31_party1,portfolio32_party1,portfolio33_party1,portfolio34_party1,portfolio35_party1,portfolio36_party1,portfolio37_party1,portfolio38_party1,portfolio39_party1,portfolio40_party1,portfolio41_party1,portfolio42_party1,portfolio43_party1,portfolio44_party1,portfolio45_party1,portfolio46_party1,portfolio47_party1,portfolio48_party1,portfolio49_party1,portfolio50_party1,portfolio51_party1,portfolio52_party1,portfolio53_party1,jm_portfolio2_party1,jm_portfolio2_party2,jm_portfolio2_party3,jm_portfolio3_party1,jm_portfolio3_party2,jm_portfolio4_party1,jm_portfolio4_party2,jm_portfolio5_party1,jm_portfolio5_party2,jm_portfolio6_party1,jm_portfolio6_party2,jm_portfolio7_party1,jm_portfolio7_party2,jm_portfolio8_party1,jm_portfolio8_party2,jm_portfolio9_party1,jm_portfolio9_party2,jm_portfolio10_party1,jm_portfolio10_party2,jm_portfolio10_party3,jm_portfolio11_party1,jm_portfolio11_party2,jm_portfolio12_party1,jm_portfolio12_party2,jm_portfolio13_party1,jm_portfolio13_party2,jm_portfolio14_party1,jm_portfolio14_party2,jm_portfolio15_party1,jm_portfolio15_party2,jm_portfolio16_party1,jm_portfolio17_party1,jm_portfolio17_party2,jm_portfolio18_party1,jm_portfolio18_party2,jm_portfolio19_party1,jm_portfolio20_party1,jm_portfolio21_party1,jm_portfolio21_party2,jm_portfolio22_party1,jm_portfolio22_party2,jm_portfolio23_party1,jm_portfolio25_party1,jm_portfolio25_party2,jm_portfolio27_party1,jm_portfolio27_party2,jm_portfolio28_party1,jm_portfolio29_party1,jm_portfolio30_party1,jm_portfolio31_party1,jm_portfolio32_party1,jm_portfolio33_party1,jm_portfolio34_party1,jm_portfolio35_party1,term_disc,term_tech_regelec,term_tech_const,term_tech_death,term_disc_earlyelec,term_disc_enlarge,term_disc_voluntary,term_disc_cabdefeat,term_disc_conflict_pol,term_disc_conflict_pers,term_disc_intra,term_disc_intra_party,term_disc_intra_conflict,term_event_nonparlelec,term_event_popshock,term_event_intnat,term_event_econ,term_event_pers,term_ministry,term_descr,inst_bicam,inst_posparl,inst_convote,inst_pmpower,pmpower_formcab,pmpower_formcab_rule1,pmpower_minappoint,pmpower_minappoint_rule,pmpower_mindismiss,pmpower_mindismiss_rule,pmpower_minaccount,pmpower_pmjurisdiction,pmpower_pmsteering,pmpower_pmagenda,pmpower_pmoffice,pmpower_pmoffice_rule1,pmpower_pmoffice_rule2,pmpower_pmoffice_rule3,inst_semipres,inst_comment,seats_party1,seats_party2,seats_party3,seats_party4,seats_party5,seats_party6,seats_party7,seats_party8,seats_party9,seats_party10,seats_party11,seats_party12,seats_party13,seats_party14,seats_party15,seats_party16,seats_party17,seats_party18,seats_party19,seats_party20,seats_party21,seats_party22,seats_party23,seats_party24,seats_party25,seats_party26,seats_party27,seats_party28,seats_party29,seats_party30,seats_party31,seats_party32,seats_party33,seats_party34,seats_party35,seats_party36,seats_party37,seats_party38,seats_party99,upper_seats_party1,upper_seats_party2,upper_seats_party3,upper_seats_party4,upper_seats_party5,upper_seats_party6,upper_seats_party7,upper_seats_party8,upper_seats_party9,upper_seats_party10,upper_seats_party11,upper_seats_party12,upper_seats_party13,upper_seats_party14,upper_seats_party15,upper_seats_party16,upper_seats_party17,upper_seats_party18,upper_seats_party19,upper_seats_party20,upper_seats_party21,upper_seats_party22,upper_seats_party24,upper_seats_party25,upper_seats_party26
18,100,Bulgaria,1801,Lukanov,22-09-1990,1990m9,1990,29-11-1990,1990m11,1990,22-09-1990,29-11-1990,90,386,68,0.176165803,BSP,180001,180001,,,,,,1,0,1,0,0,2,1,1,,,,,,0,0,1,2,17-06-1990,4,180001,1,0.5275,0,400,211,211,0.5275,2.421380792,2.350564792,180001,,1,Econ. left-right,180001,,,,,,,,,,,97,97,0,BSP,,180001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,208,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,1,0,,"State insolvency, escalating public protest, the new coalition cabinet is instrumental for the pacted transition",0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,211,,,,23,,,16,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1802,Popov,20-12-1990,1990m12,1990,13-10-1991,1991m10,1991,20-12-1990,13-10-1991,90,297,297,1,"BSP, SDS, BZNS","1,80,00,11,80,01,41,80,000",180001,180014,180008,,,,3,1,1,0,1,4,2,0,,,,,,0,0,1,4,17-06-1990,4,180001,1,0.5275,0,400,371,371,0.9275,2.421380792,2.350564792,180001,,1,Econ. left-right,180001,,,,,,,,,,,21,21,0,"BSP, SDS, BZNS",,180001,180014,180008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,271,55,,3,1,0,"IC, Parl, PCa",1,4,5,,,,IC,1,,PCa,5,,0,180001,180014,,,,,1,4,4,1,1,1,1,408,,,,408,12.25,,,,12.25,0,,,,0,10,,,,10,9.5,,,,9.5,67.6,,,,67.600006,16,19,4,180001,180014,180008,,,,,Foreign Affairs,,189999,180014,180008,189999,180001,180001,180014,180008,,180001,180001,,180014,,180001,180001,180014,,,,,180001,180001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180001,,,,,,,180014,,180014,,180001,,,,,,,,,,,180001,,180014,,,,180001,,,,,,,,180014,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,211,,,,23,,,16,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1803,Dimitrov,08-11-1991,1991m11,1991,28-10-1992,1992m10,1992,08-11-1991,28-10-1992,90,1493,355,0.237776289,SDS,180014,180014,,,,,,1,0,0,0,0,1,1,1,DPS,180005,,,,0,0,1,2,13-10-1991,3,180014,1,0.458333333,1,240,110,98,0.458333333,2.408832385,2.408832385,180005,,0.333333333,Econ. left-right,180001,,,,,,,,,,,26,26,0,SDS,,180014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,1,SDS,LNL,0,0,0,0,0,,"Following intraparty conflicts in SDS, its parliamentary party fraction erodes and the supporter party DPS becomes ambivalent seeking a new format of parliamentary majority",0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,106,,,,24,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1804,Berov,30-12-1992,1992m12,1992,08-09-1994,1994m9,1994,30-12-1992,08-09-1994,90,1075,617,0.573953488,"NI, BSP, DPS","1,80,00,61,80,00,11,80,000",180006,180001,180005,,,,3,1,1,0,1,4,2,0,,,,,,0,0,1,3,13-10-1991,4,180001,1,0.441666667,1,240,142,125,0.591666667,2.6716141,2.6716141,180005,,0.333333333,Econ. left-right,180001,,,,,,,,,,,63,63,2,"DPS, NI, BSP",15,180005,180006,180001,,,,"SDS, DPS",16,180014,180005,,,,,,,,"BSP, DPS",9,180001,180005,,,,,,,,,,,,,,,,,,,,,49,127,22,2,0,,0,"CaC, O",2,7,,,,,CaC,2,,O,7,,0,180005,180001,180006,,,,1,4,4,0,0,0,1,2069,,,,2069,0,,,,0,0,,,,0,0,,,,0,0,,,,0,100,,,,100,14,14,4,180005,180006,189998,,,Employment and Social Services,Trade and Tourism,Transport,,189998,180001,,180001,180001,180006,180006,180006,180006,180006,180005,,180006,,180006,,,180006,,,,,,,,,189999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180006,,,,,,,,,,,,,,,,,,,,,,,180006,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,0,,,0,0,0,0,0,,BSP encourages the resignation of the PM anticipating electoral victory and single-party majority in the next parliament - this contradicts to the position of coalition partners NI and DPS which continue to support the cabinet; the move is supported by and coordinated with the parliamentary opposition (SDS),0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,106,,,,24,12,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1805,Indzhova,17-10-1994,1994m10,1994,18-12-1994,1994m12,1994,17-10-1994,18-12-1994,90,62,62,1,,,,,,,,,0,,,,,5,5,0,,,,,,1,1,1,4,13-10-1991,4,,,,1,0,0,,,,,,,,,,,,,,,,,,,,39,39,3,,0,,,,,,,BSP,2,180001,,,,,,,,,SDS,3,180014,,,,,,,,"NI, DPS",17,180006,180005,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,1,0,2,0,3,0,3,0,3,,,,1,1,1,2,3,0,"cabinet appointed by president (discretionary power), the parliament is dissolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1806,Videnov,25-01-1995,1995m1,1995,28-12-1996,1996m12,1996,25-01-1995,28-12-1996,90,1481,703,0.474679271,BSP,180001,180001,,,,,,1,0,1,0,0,2,1,1,,,,,,0,0,1,2,18-12-1994,5,180001,1,0.520833333,0,240,125,122,0.520833333,2.729340409,2.729340409,180001,,1,Econ. left-right,180001,,,,,,,,,,,38,38,0,BSP,,180001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,131,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,1,BSP,L,0,1,0,1,0,,"State insolvency, escalating public protest, intraparty conflicts in the governing BSP leading to voluntary resignation of PM and simultaneous change in party leadership",0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,125,,0,13,15,,,,,18,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1807,Sofiyanski,12-02-1997,1997m2,1997,19-04-1997,1997m4,1997,12-02-1997,19-04-1997,90,66,66,1,,,,,,,,,0,,,,,5,5,0,,,,,,1,1,1,4,18-12-1994,5,,,,1,0,0,,,,,,,,,,,,,,,,,,,,46,46,3,,0,,,,,,,BSP,8,180001,,,,,,,,,SDS,3,180014,,,,,,,,NS,3,180010,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,1,0,2,0,3,0,3,0,3,,,,1,1,1,2,3,0,"cabinet appointed by president (discretionary power), the parliament is dissolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1808,Kostov,21-05-1997,1997m5,1997,17-06-2001,2001m6,2001,21-05-1997,17-06-2001,90,1488,1488,1,"SDS, NS","1,80,01,41,80,010",180014,180010,,,,,2,1,1,0,1,4,1,1,"DPS, EL",180005,180003,,,0,0,1,1,19-04-1997,6,180014,1,0.5125,0,240,137,123,0.570833333,2.970603404,2.970603404,180014,,1,Econ. left-right,180014,,,,,,,,,,,32,32,0,"SDS, NS",,180014,180010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,179,55,0,4,1,0,"IC, PCa, PS",1,5,6,,,,IC,1,,"PCa, PS",5,6,0,180010,,,,,,1,2,3,1,3,0,1,446,27630,,,28076,73,4.3,,,5.3913302,0,0,,,0,27,0,,,0.42890725,0,0,,,0,0,95.7,,,94.179764,15,17,2,180010,180014,180014,,,Higher Education and Science,Economy,Construction,,180014,180014,180014,180014,180014,180014,180014,180010,180014,180014,180014,,180014,,180010,180014,180010,180014,,,,,,,,,,180014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,58,,14,12,19,,,,,14,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1809,Saxecoburggothski I,24-07-2001,2001m7,2001,21-02-2005,2005m2,2005,24-07-2001,21-02-2005,100,1511,1308,0.865651886,"NDSV, DPS","1,80,01,11,80,005",180011,180005,,,,,2,1,1,1,0,3,1,1,,,,,,0,0,1,2,17-06-2001,4,180011,1,0.5,1,240,141,115,0.5875,2.91704649,2.91704649,180011,,0.608695652,Econ. left-right,180011,,,,,,,,,,,37,37,0,"NDSV, DPS",,180011,180005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,147,50,41,2,0,0,"IC, CoC, PCa",1,3,5,,,,IC,1,,CoC,3,,0,180005,,,,,,1,2,3,1,3,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,14,17,5,180011,180011,,180011,,Economy,Employment and Social Services,,Construction,180011,180011,180011,180011,180011,180011,180011,180005,180011,180011,180011,,180011,,180011,180011,180011,,,,,,,,,,,180011,,180005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,0,1,NDSV,LNL,0,0,0,0,0,,Following intraparty conflicts in NDSV the parliamentary party fraction splits and on 10.03.2004 a new parliamentary group of NV was formed. In February 2005 coalition partner DPS being in policy conflict with NDSV utilizes the situation by dismissing a deputy PM and blocking the privatization of Bulgartabac,0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,48,,0,0,21,,,,,,120,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,Bulgaria,1810,Saxecoburggothski II,23-02-2005,2005m2,2005,25-06-2005,2005m6,2005,23-02-2005,25-06-2005,100,172,122,0.709302326,"NDSV, DPS, NV","1,80,01,11,80,00,51,80,000",180011,180005,180012,,,,3,1,1,1,0,3,2,0,,,,,,0,0,1,4,17-06-2001,6,180011,1,0.395833333,1,240,129,127,0.5375,4.136742315,3.826678241,180011,,0.608695652,Econ. left-right,180011,,,,,,,,,,,2,2,0,"NDSV, DPS, NV",,180011,180005,180012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,127,107,0,3,1,0,"IC, CoC",1,3,,,,,IC,1,,CoC,3,,0,180005,180012,,,,,1,3,3,1,2,0,1,147,,,,147,84,,,,84,0,,,,0,0,,,,0,16,,,,16,0,,,,0,16,21,5,180011,180011,,,,Transport,,,,180011,180011,180011,180011,180011,180011,180011,180005,180011,180011,180011,,180011,,180011,180011,180011,,180012,,180011,,,,,,,180011,180011,180005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,1,0,7,0,3,1,1,1,1,1,1,1,1,1,1,2,3,0,,49,,0,,20,,,,,11,95,14,,41,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
